user_id,signup_date,test_group,onboarding_step_reached,feature_A_clicks,feature_B_clicks,churned
USR-00000,2025-12-16,Control,2,2,1,True
USR-00001,2025-04-21,Variant,5,3,2,False
USR-00002,2025-06-13,Variant,5,7,2,False
USR-00003,2025-01-16,Variant,2,0,1,True
USR-00004,2025-08-12,Control,5,0,2,False
USR-00005,2025-06-19,Control,1,1,0,True
USR-00006,2025-01-02,Control,2,1,2,False
USR-00007,2025-08-14,Variant,2,0,1,True
USR-00008,2025-03-24,Variant,5,1,2,False
USR-00009,2025-10-03,Variant,5,5,1,False
USR-00010,2025-01-19,Control,2,0,3,False
USR-00011,2025-01-27,Variant,2,6,1,False
USR-00012,2025-05-13,Variant,5,3,1,False
USR-00013,2025-11-30,Control,2,4,0,True
USR-00014,2025-01-30,Control,2,0,1,True
USR-00015,2025-05-30,Control,2,7,1,True
USR-00016,2025-12-21,Control,5,4,5,False
USR-00017,2025-08-26,Variant,2,0,1,False
USR-00018,2025-07-31,Control,2,2,0,False
USR-00019,2025-09-11,Control,2,8,1,False
USR-00020,2025-12-15,Variant,2,3,0,False
USR-00021,2025-09-06,Control,2,2,5,False
USR-00022,2025-08-14,Control,2,3,3,False
USR-00023,2025-01-31,Control,2,4,6,False
USR-00024,2025-07-25,Control,4,1,1,False
USR-00025,2025-06-16,Variant,1,5,1,True
USR-00026,2025-07-28,Control,3,1,2,True
USR-00027,2025-08-12,Variant,3,5,1,True
USR-00028,2025-03-14,Variant,2,2,2,False
USR-00029,2025-03-08,Control,2,1,3,False
USR-00030,2025-10-05,Variant,5,0,0,False
USR-00031,2025-05-23,Control,2,2,1,False
USR-00032,2025-11-18,Control,2,1,1,False
USR-00033,2025-02-15,Variant,2,2,2,True
USR-00034,2025-02-24,Variant,5,0,0,False
USR-00035,2025-02-11,Variant,2,3,1,True
USR-00036,2025-03-18,Control,5,6,1,True
USR-00037,2025-02-16,Control,5,2,1,True
USR-00038,2025-02-02,Variant,2,0,3,False
USR-00039,2025-10-01,Control,2,2,1,True
USR-00040,2025-07-20,Control,1,1,2,True
USR-00041,2025-10-03,Control,2,6,0,True
USR-00042,2025-04-17,Control,5,4,0,False
USR-00043,2025-01-03,Variant,2,1,0,False
USR-00044,2025-12-11,Control,2,2,3,False
USR-00045,2025-11-19,Variant,2,5,1,True
USR-00046,2025-02-24,Control,5,2,1,True
USR-00047,2025-04-27,Variant,5,3,1,False
USR-00048,2025-08-03,Variant,2,2,1,False
USR-00049,2025-09-18,Control,1,1,0,False
USR-00050,2025-05-28,Variant,5,5,1,False
USR-00051,2025-01-12,Variant,2,3,1,False
